Issue Title,Description,Likelihood,Severity,Reach,Mitigations,Ownership,Examples,Tags,Issue,Updates,Maintainer Notes
Skill degradation from over-use of AI,"Over-use of AI might lead to a degredation in software skills for RSE professionals. This could have unintended consequences on code quality, research integrity and critical review capabilities.",Medium,Medium,High,Ensure software training remains central to RSE development. Ensure relevant skills and experience remain highly valued by employers and institutions. Demonstrate the effectiveness of relevant skills when developing research code with AI.,"RSEs, Institutions, Employers, Managers, Communities.",https://digital-skills-jobs.europa.eu/en/latest/briefs/coding-and-programming-skills-age-generativeai-deep-dive,"Professional, Training and Development, Research Integrity",#119,"#119, #121",
New Risk,This is a new risk,Medium,Very High,High,,,,"Governance, Environmental, Software Sustainability, Custom Tag",#167,#167,
AI reduces code quality,Using AI for coding may reduce the quality of research software.,Medium,Medium,High,Use AI carefully,RSEs,,"Research Integrity, Software Sustainability",#168,#168,
AI-generated code may introduce plausible but incorrect logic,"AI-generated code may introduce plausible but incorrect statistical, methodological, or domain-specific logic that is hard to detect during routine review, particularly when the code appears fluent and functional. Because AI-assisted coding is increasingly used across many areas of research software development, these errors could affect a wide range of projects, leading to unreliable software behaviour, invalid analyses, or incorrect research conclusions.",High,High,Very High,Require human review by someone with relevant domain knowledge. Use human verified tests that check substantive correctness rather than only syntax or execution. Document where AI-assisted code has been used in research software development.,"RSEs, researchers, project leads, institutions",,"Software Sustainability, Research Integrity, People and Professional Practice, Training and Development",#169,#169,
